country,happiness,Social support
Afghanistan,3.203,0.517
Albania,4.719,0.848
Algeria,5.211,1.16
Argentina,6.086,1.432
Armenia,4.559,1.055
Australia,7.228,1.548
Austria,7.246,1.475
Azerbaijan,5.208,1.147
Bahrain,6.199,1.368
Bangladesh,4.456,0.928
Belarus,5.323,1.465
Belgium,6.923,1.504
Benin,4.883,0.437
Bhutan,5.082,1.321
Bolivia,5.779,1.209
Bosnia and Herzegovina,5.386,1.212
Botswana,3.488,1.145
Brazil,6.3,1.439
Bulgaria,5.011,1.513
Burkina Faso,4.587,1.056
Burundi,3.775,0.447
Cambodia,4.7,1.122
Cameroon,5.044,0.91
Canada,7.278,1.505
Central African Republic,3.083,0
Chad,4.35,0.766
Chile,6.444,1.369
China,5.191,1.125
Colombia,6.125,1.41
Comoros,3.973,0.757
Congo (Brazzaville),4.812,0.799
Congo (Kinshasa),4.418,1.125
Costa Rica,7.167,1.441
Croatia,5.432,1.266
Cyprus,6.046,1.223
Czech Republic,6.852,1.487
Denmark,7.6,1.573
Dominican Republic,5.425,1.401
Ecuador,6.028,1.312
Egypt,4.166,1.039
El Salvador,6.253,1.242
Estonia,5.893,1.528
Ethiopia,4.286,1.033
Finland,7.769,1.587
France,6.592,1.472
Gabon,4.799,1.183
Gambia,4.516,0.939
Georgia,4.519,0.666
Germany,6.985,1.454
Ghana,4.996,0.868
Greece,5.287,1.156
Guatemala,6.436,1.269
Guinea,4.534,0.829
Haiti,3.597,0.688
Honduras,5.86,1.236
Hong Kong,5.43,1.277
Hungary,5.758,1.41
Iceland,7.494,1.624
India,4.015,0.765
Indonesia,5.192,1.203
Iran,4.548,0.842
Iraq,4.437,0.98
Ireland,7.021,1.553
Israel,7.139,1.455
Italy,6.223,1.488
Ivory Coast,4.944,0.808
Jamaica,5.89,1.478
Japan,5.886,1.419
Jordan,4.906,1.225
Kazakhstan,5.809,1.508
Kenya,4.509,0.983
Kosovo,6.1,1.232
Kuwait,6.021,1.319
Kyrgyzstan,5.261,1.438
Laos,4.796,1.03
Latvia,5.94,1.465
Lebanon,5.197,1.224
Lesotho,3.802,1.169
Liberia,3.975,0.922
Libya,5.525,1.303
Lithuania,6.149,1.515
Luxembourg,7.09,1.479
Madagascar,3.933,0.916
Malawi,3.41,0.56
Malaysia,5.339,1.171
Mali,4.39,1.105
Malta,6.726,1.52
Mauritania,4.49,1.167
Mauritius,5.888,1.402
Mexico,6.595,1.323
Moldova,5.529,1.328
Mongolia,5.285,1.531
Montenegro,5.523,1.361
Morocco,5.208,0.782
Mozambique,4.466,0.986
Myanmar,4.36,1.181
Namibia,4.639,1.313
Nepal,4.913,1.226
Netherlands,7.488,1.522
New Zealand,7.307,1.557
Nicaragua,6.105,1.325
Niger,4.628,0.774
Nigeria,5.265,1.111
North Macedonia,5.274,1.294
Northern Cyprus,5.718,1.252
Norway,7.554,1.582
Pakistan,5.653,0.886
Palestinian Territories,4.696,1.247
Panama,6.321,1.442
Paraguay,5.743,1.475
Peru,5.697,1.274
Philippines,5.631,1.293
Poland,6.182,1.438
Portugal,5.693,1.431
Qatar,6.374,1.313
Romania,6.07,1.232
Russia,5.648,1.452
Rwanda,3.334,0.711
Saudi Arabia,6.375,1.357
Senegal,4.681,1.134
Serbia,5.603,1.383
Sierra Leone,4.374,0.841
Singapore,6.262,1.463
Slovakia,6.198,1.504
Slovenia,6.118,1.523
Somalia,4.668,0.698
South Africa,4.722,1.351
South Korea,5.895,1.219
South Sudan,2.853,0.575
Spain,6.354,1.484
Sri Lanka,4.366,1.265
Swaziland,4.212,1.149
Sweden,7.343,1.487
Switzerland,7.48,1.526
Syria,3.462,0.378
Taiwan,6.446,1.43
Tajikistan,5.467,1.098
Tanzania,3.231,0.885
Thailand,6.008,1.409
Togo,4.085,0.572
Trinidad & Tobago,6.192,1.477
Tunisia,4.461,1
Turkey,5.373,1.36
Turkmenistan,5.247,1.538
Uganda,4.189,1.069
Ukraine,4.332,1.39
United Arab Emirates,6.825,1.31
United Kingdom,7.054,1.538
United States,6.892,1.457
Uruguay,6.293,1.465
Uzbekistan,6.174,1.529
Venezuela,4.707,1.427
Vietnam,5.175,1.346
Yemen,3.38,1.163
Zambia,4.107,1.058
Zimbabwe,3.663,1.114
